entity,country,indigenous_to_name,indigenous_to_entity,latitude,longitude,location_entity,location_name
Q29579,Nepal,Lumbini Zone,Q9172,,,,
Q29579,Nepal,Mahakali Zone,Q9178,,,,
Q29579,Nepal,Rapti Zone,Q9185,,,,
Q29579,Nepal,Seti Zone,Q9196,,,,
Q2873211,,,,-6.5,145.75,,
Q2873211,Papua New Guinea,,,,,,
Q2873211,Papua New Guinea,Eastern Highlands Province,Q849812,,,,
Q35145,,,,-14.0,-74.0,,
Q35145,Peru,,,,,,
Q35145,Peru,Apurímac,Q208185,,,,
Q35145,Peru,Arequipa,Q205068,,,,
Q35145,Peru,Ayacucho,Q205112,,,,
Q35145,Peru,Cusco Departament,Q205057,,,,
Q35145,Peru,Huancavelica,Q505220,,,,
Q35145,Peru,Ica,Q208186,,,,
Q35145,Peru,Junín,Q207973,,,,
Q35145,Peru,Lima region,Q211795,,,,
Q35145,Peru,Lima Province,Q579240,,,,
Q14916912,Mexico,,,,,,
Q14916912,Mexico,Oaxaca,Q34110,,,,
Q20526610,Bolivia,,,,,,
Q20526610,Chile,,,,,,
Q20526610,Peru,,,,,,
Q20526610,Bolivia,La Paz Department,Q272784,,,,
Q20526610,Bolivia,Oruro Department,Q1061368,,,,
Q20526610,Bolivia,Potosí Department,Q238079,,,,
Q20526610,Chile,Antofagasta Region,Q2118,,,,
Q20526610,Chile,Tarapacá Region,Q2114,,,,
Q56634,,,,-20.25,-59.25,,
Q56634,Bolivia,,,,,,
Q56634,Paraguay,,,,,,
Q56634,Bolivia,Santa Cruz Department,Q235106,,,,
Q56634,Paraguay,Alto Paraguay,Q682642,,,,
Q56634,Paraguay,Boquerón Department,Q741017,,,,
Q3436621,Philippines,,,,,,
Q3436621,Philippines,Central Luzon,Q13617,,,,
Q3436621,Philippines,Tarlac,Q13892,,,,
Q1931221,Philippines,,,,,,
Q1931221,Philippines,Bataan,Q13739,,,,
Q1931221,Philippines,Pampanga,Q13870,,,,
Q1931221,Philippines,Zambales,Q13895,,,,
Q13583508,,,,16.9166666667,-99.1666666667,,
Q13583508,Mexico,,,,,,
Q13583508,Mexico,Guerrero,Q60158,,,,
Q3515311,Armenia,,,,,,
Q3515311,Azerbaijan,,,,,,
Q3515311,Georgia,,,,,,
Q3515311,Azerbaijan,Azerbaijan,Q227,,,,
Q3515311,Georgia,Kakheti,Q169674,,,,
Q3515311,Georgia,Kvemo Kartli,Q200048,,,,
Q3515311,Georgia,Samtskhe–Javakheti,Q19039,,,,
Q34889,,,,10.0,2.5,,
Q34889,Benin,,,,,,
Q34889,Nigeria,,,,,,
Q34889,Benin,Atakora Department,Q29154,,,,
Q34889,Benin,Alibori Department,Q29165,,,,
Q34889,Benin,Borgou Department,Q29136,,,,
Q34889,Benin,Donga Department,Q29161,,,,
Q34889,Nigeria,Federal Capital Territory,Q509300,,,,
Q34889,Nigeria,Kwara State,Q464953,,,,
Q34889,Nigeria,Niger State,Q503932,,,,
Q34790,Cameroon,,,,,,
Q34790,Cameroon,North Region,Q502341,,,,
Q34790,Cameroon,West Region,Q165784,,,,
Q2878850,Solomon Islands,,,,,,
Q2878850,Solomon Islands,Malaita Province,Q1190896,,,,
Q34930,,,,5.0,11.1666666667,,
Q34930,Cameroon,,,,,,
Q34930,Cameroon,Centre,Q739951,,,,
Q34930,Cameroon,North Region,Q502341,,,,
Q34888,,,,6.25,9.91666666667,,
Q34888,Cameroon,,,,,,
Q34888,Cameroon,North Region,Q502341,,,,
Q34888,Cameroon,West Region,Q165784,,,,
Q9240,,,,0.0,106.0,,
Q9240,Indonesia,,,,,,
Q9240,Indonesia,Indonesia,Q252,,,,
Q9237,Malaysia,,,,,,
Q9237,Indonesia,,,,,,
Q9237,Brunei,,,,,,
Q9237,Singapore,,,,,,
Q9237,East Timor,,,,,,
Q9237,Malaysia,Malay people,Q142702,,,,
Q9237,Indonesia,Malay people,Q142702,,,,
Q9237,Thailand,Malay people,Q142702,,,,
Q9237,Singapore,Malay people,Q142702,,,,
Q9237,Brunei,Malay people,Q142702,,,,
Q9237,Philippines,Malay people,Q142702,,,,
Q9237,Saudi Arabia,Malay people,Q142702,,,,
Q9237,Egypt,Malay people,Q142702,,,,
Q9237,United Arab Emirates,Malay people,Q142702,,,,
Q9237,Oman,Malay people,Q142702,,,,
Q9237,Yemen,Malay people,Q142702,,,,
Q9237,Jordan,Malay people,Q142702,,,,
Q9237,Qatar,Malay people,Q142702,,,,
Q9237,Lebanon,Malay people,Q142702,,,,
